Name,Platform,YearOfRelease,Genre,Publisher,Developer,NorthAmericaSales,EuropeSales,JapanSales,OtherSales,GlobalSales,CriticScore,UserScore,UserCount
Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,Core Design Ltd.,0.59,0.03,0,0,0.62,14,8.2,29
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,Namco,3.27,2.22,1.4,0.29,7.16,96,9.1,367
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,Konami,0.15,0.1,0.38,0.04,0.68,82,8.4,162
Strikers 1945,PS,1998,Shooter,Midas Interactive Entertainment,Psikyo,0.07,0.05,0,0.01,0.12,63,8.2,6
Street Fighter Alpha 3,PS,1998,Fighting,Virgin Interactive,Capcom,0.38,0.12,0.51,0.02,1.03,93,8.5,46
StarCraft,PC,1998,Strategy,Activision,Blizzard Entertainment,0,0.04,0,0.01,0.05,88,9.1,813
Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,Tri-Ace,0.26,0.1,0.72,0.02,1.1,80,8.5,44
Sim Theme Park,PC,1998,Strategy,Electronic Arts,Bullfrog Productions,2.04,0.04,0,0,2.08,2,8.3,14
Silhouette Mirage,PS,1998,Platform,ESP,Treasure,0.03,0.02,0,0,0.05,69,7.5,4
Resident Evil 2,PS,1998,Action,Virgin Interactive,Capcom,1.88,1.47,2.02,0.45,5.82,89,9.2,364
R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,Namco,0.68,0.46,0.79,0.13,2.06,88,9.2,21
Planescape: Torment,PC,1998,Role-Playing,Interplay,Black Isle Studios,0.01,0.02,0,0,0.03,91,9.2,813
Pharaoh,PC,1998,Strategy,Vivendi Games,Impressions Games,0,0.02,0,0,0.02,2,8.6,45
Parasite Eve,PS,1998,Role-Playing,SquareSoft,SquareSoft,0.94,0.07,1.05,0.04,2.1,81,8.9,89
Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,Oddworld Inhabitants,0.55,0.38,0,0.06,0.99,88,9.1,69
Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,EA Canada,2.14,0.86,0,0.13,3.12,88,1,21
Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,Tecmo,0.19,0.13,0.66,0.07,1.05,83,1,49
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,KCEJ,3.18,1.83,0.78,0.24,6.03,94,9.4,918
Medal of Honor,PS,1998,Shooter,Electronic Arts,Dreamworks Interactive,1.44,1.09,0,0.14,2.67,92,8.6,80
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,Game Arts,0.27,0.18,0.06,0.04,0.55,78,9.1,35
ISS Pro Evolution,PS,1998,Sports,Konami Digital Entertainment,KCET,0,0,0.71,0.05,0.76,94,8.7,40
Homeworld,PC,1998,Strategy,Vivendi Games,Relic,0,0.02,0,0,0.02,93,9,326
Gundam Battle Assault,PS,1998,Fighting,Namco Bandai Games,Natsume,0.13,0.09,0,0.02,0.23,61,7.8,4
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,DMA Design,1.13,2.07,0,0.22,3.42,70,8,67
Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,Team Ninja,0.09,0.06,0.1,0.02,0.28,84,8.6,18
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,Naughty Dog,3.68,1.75,1.42,0.28,7.13,91,8.9,432
Clock Tower II: The Struggle Within,PS,1998,Adventure,Human Entertainment,Human Entertainment,0.02,0.01,0.12,0.01,0.17,49,5.7,7
Caesar III,PC,1998,Strategy,Vivendi Games,Impressions Games,0,0.03,0,0,0.03,7,8.7,50
Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,SquareSoft,0.25,0.17,0.65,0.07,1.14,81,8.5,17
Bomberman Party Edition,PS,1998,Puzzle,Virgin Interactive,Metro,0.07,0.05,0,0.01,0.12,79,8.3,6
Woody Woodpecker Racing,PS,1999,Racing,Konami Digital Entertainment,VU Games,0.06,0.04,0,0.01,0.11,46,1,48
WipEout 3,PS,1999,Racing,Psygnosis,Psygnosis,0.19,0.13,0,0.02,0.34,89,8.5,15
Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,Jellyvision,1.94,0,0,0,1.94,11,1,50
WCW Backstage Assault,PS,1999,Action,Electronic Arts,Kodiak Interactive,0.12,0.08,0,0.01,0.21,40,2,18
Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,Tri-Ace,0.07,0.05,0.63,0.05,0.81,81,8.8,37
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,Neversoft Entertainment,3.42,1.38,0.02,0.2,5.02,92,9.2,69
The Longest Journey,PC,1999,Adventure,Empire Interactive,Funcom,0,0.01,0,0,0.02,91,8.9,439
The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,SCEI,0.94,0.44,0.39,0.1,1.86,74,8.4,248
The Grinch,PS,1999,Adventure,Konami Digital Entertainment,VU Games,0.29,0.2,0,0.03,0.52,55,2,9
Surf Riders,PS,1999,Sports,Ubisoft,ACOT,0.07,0.05,0,0.01,0.13,64,2,46
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,Namco,0,0,0.34,0,0.34,98,8.8,200
SnoCross Championship Racing,PS,1999,Racing,Ubisoft,UDS,0.52,0.35,0,0.06,0.93,66,1,36
Silent Hill,PS,1999,Action,Konami Digital Entertainment,KCET,0.71,0.48,0.3,0.1,1.6,86,9.2,326
Shenmue,DC,1999,Adventure,Sega,Sega AM2,0.52,0.24,0.38,0.04,1.18,88,9.4,201
Seaman,DC,1999,Simulation,Sega,Vivarium,0,0,0.52,0,0.52,82,8.4,16
Saiyuki: Journey West,PS,1999,Strategy,Tecmo Koei,Koei,0.03,0.02,0,0,0.05,73,7.1,9
Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,Shaba Games,0.26,0.17,0,0.03,0.46,65,2,49
RayCrisis: Series Termination,PS,1999,Shooter,JVC,Taito Corporation,0.01,0.01,0,0,0.02,67,1,11
Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,Cunning Developments,0.37,0.25,0,0.04,0.66,69,2,30
Parasite Eve II,PS,1999,Role-Playing,SquareSoft,SquareSoft,0.32,0.22,0,0.04,0.58,79,9,77
Need for Speed: Porsche Unleashed,PS,1999,Racing,Electronic Arts,Eden Studios,0.43,0.29,0,0.05,0.77,78,8.5,24
Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,EA Canada,1.58,0.64,0,0.09,2.31,86,8.5,28
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,Kadokawa Shoten,Game Arts,0.19,0.13,0,0.02,0.35,86,8.9,37
Incredible Crisis,PS,1999,Action,Titus,Polygon Magic,0.04,0.03,0,0.01,0.08,80,7.5,11
Harvest Moon: Back to Nature,PS,1999,Simulation,Ubisoft,Victor Interactive Software,0.11,0.07,0.12,0.02,0.32,82,9.3,78
Grandia,PS,1999,Role-Playing,Ubisoft,Game Arts,0.14,0.09,0,0.02,0.25,89,6.6,77
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.42,1.69,0.5,9.49,93,9,135
Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,Blitz Games,0.8,0.54,0,0.09,1.43,77,7.9,8
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,8.6,644
Final Fantasy Anthology,PS,1999,Role-Playing,Square EA,SquareSoft,0.45,0.3,0,0.05,0.8,80,8.1,28
ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,Acclaim,0.06,0.04,0,0.01,0.11,43,6.3,4
Dungeon Keeper 2,PC,1999,Action,Electronic Arts,Bullfrog Productions,0,0.05,0,0.01,0.05,11,8.8,100
Driver,PS,1999,Action,GT Interactive,Reflections Interactive,3.11,2.8,0.02,0.33,6.27,87,8.1,78
Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,Namco,0.04,0.03,0,0,0.07,57,8.3,10
Digimon Digital Card Battle,PS,1999,Strategy,Namco Bandai Games,Bandai,0.06,0.04,0,0.01,0.11,51,9,44
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,Naughty Dog,2.57,1.57,0.44,0.21,4.79,88,9,233
Countdown Vampires,PS,1999,Adventure,Namco Bandai Games,K2 LLC,0.02,0.01,0,0,0.04,41,1,20
Chrono Cross,PS,1999,Role-Playing,SquareSoft,SquareSoft,0.62,0.42,0.69,0.12,1.86,94,8.1,297
Bust A Groove 2,PS,1999,Misc,Enix Corporation,Metro,0.04,0.03,0.18,0.02,0.26,66,8.9,35
Breakout,PS,1999,Puzzle,Hasbro Interactive,Supersonic Software,0.06,0.04,0,0.01,0.11,15,2,39
Ape Escape,PS,1999,Platform,Sony Computer Entertainment,SCEI,0.71,0.48,0.32,0.11,1.63,90,8.8,53
Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,Ensemble Studios,0.01,0.08,0,0.01,0.09,92,9,801
You Don't Know Jack: Mock 2,PS,2000,Misc,Vivendi Games,Jellyvision,0.06,0.04,0,0.01,0.1,82,2,45
World Destruction League: Thunder Tanks,PS2,2000,Action,3DO,3DO,0.08,0.07,0,0.02,0.17,65,5.9,7
World Destruction League: Thunder Tanks,PS,2000,Action,3DO,3DO,0.09,0.06,0,0.01,0.17,35,1.2,6
WinBack: Covert Operations,PS2,2000,Shooter,Midas Interactive Entertainment,Omega Force,0.14,0.11,0,0.04,0.29,66,7.7,20
Wild Wild Racing,PS2,2000,Racing,Interplay,Rage Software,0.1,0.08,0,0.03,0.21,64,1,30
Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,Empire Interactive,New,0.05,0.04,0.38,0.01,0.47,75,8,10
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,SquareSoft,0.3,0.2,0.3,0.06,0.87,92,8.3,129
Unreal Tournament,PS2,2000,Shooter,Infogrames,Epic Games,0.28,0.22,0,0.07,0.58,77,6.8,13
Ultimate Fighting Championship,PS,2000,Fighting,Ubisoft,Opus,0.14,0.09,0,0.02,0.25,53,7.4,16
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,Neversoft Entertainment,3.05,1.41,0.02,0.2,4.68,98,7.7,299
Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,Genki,0.66,0.52,0.15,0.17,1.5,76,8.9,64
TimeSplitters,PS2,2000,Shooter,Eidos Interactive,Free Radical Design,0.21,0.17,0,0.06,0.43,81,8,40
Theme Park Roller Coaster,PS2,2000,Strategy,Electronic Arts,Bullfrog Productions,0.23,0.18,0,0.06,0.48,82,7.9,17
The Typing of the Dead,DC,2000,Shooter,Sega,Smilebit,0,0,0.05,0,0.05,83,7.8,12
The Sims: Livin Large,PC,2000,Misc,Electronic Arts,Maxis,1.67,1.18,0,0.13,2.99,82,6.6,20
The Sims,PC,2000,Simulation,Electronic Arts,Maxis,0.01,0.03,0,0.01,0.05,92,7.9,451
The King of Fighters '99,PS,2000,Fighting,SNK,SNK,0,0,0.11,0.01,0.11,3,8.9,39
The Bouncer,PS2,2000,Action,Sony Computer Entertainment,DreamFactory,0.3,0.23,0.38,0.08,0.99,66,8,35
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,Acquire,0.32,0.22,0,0.04,0.58,77,8.7,32
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,Namco,1.68,1.51,0.51,0.35,4.05,85,8.5,117
Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,Namco,0.06,0.04,0.66,0.05,0.81,78,8.7,31
Sydney 2000,PS,2000,Sports,Eidos Interactive,Attention To Detail,0.15,0.1,0,0.02,0.27,57,1,49
Swing Away Golf,PS2,2000,Sports,Electronic Arts,T&E Soft,0.17,0.13,0.18,0.04,0.52,78,2,41
Surfing H3O,PS2,2000,Sports,Take-Two Interactive,Opus,0.12,0.1,0,0.03,0.25,46,4.6,8
Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,Taito Corporation,0.17,0.13,0,0.04,0.34,75,2,23
Summoner,PS2,2000,Role-Playing,THQ,Volition Inc.,0.25,0.2,0,0.07,0.51,74,7.8,12
Strider 2,PS,2000,Platform,Virgin Interactive,Capcom,0.05,0.03,0,0.01,0.08,69,8.1,11
Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,Arika,0.32,0.25,0.2,0.08,0.85,64,7.9,31
Star Wars: Demolition,PS,2000,Racing,Activision,"Luxoflux, Inc.",0.25,0.17,0,0.03,0.46,63,6.5,6
Star Trek: Invasion,PS,2000,Simulation,Activision,Warthog,0.15,0.1,0,0.02,0.26,76,2,26
SSX,PS2,2000,Sports,Electronic Arts,EA Sports Big,0.78,0.61,0.06,0.2,1.66,93,8.3,33
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,Insomniac Games,1.93,1.58,0,0.19,3.71,91,8.8,207
Spider-Man,PS,2000,Action,Activision,Neversoft Entertainment,1.7,1.25,0.02,0.16,3.13,87,9,107
Speedball 2100,PS,2000,Sports,Empire Interactive,Bitmap Brothers,0.1,0.07,0,0.01,0.18,60,1,28
Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,Rockstar San Diego,0.77,0.6,0,0.2,1.56,79,6.8,18
Sky Odyssey,PS2,2000,Simulation,Sony Computer Entertainment,CAProduction,0.16,0.12,0,0.04,0.32,79,8.4,9
Skies of Arcadia,DC,2000,Role-Playing,Sega,Overworks,0,0,0.09,0,0.09,93,9.4,98
Silpheed: The Lost Planet,PS2,2000,Shooter,Swing! Entertainment,Treasure,0.03,0.03,0,0.01,0.07,72,7.5,4
Silent Scope,PS2,2000,Shooter,Konami Digital Entertainment,KCET,0.19,0.15,0,0.05,0.38,63,1,36
Sheep,PS,2000,Strategy,Empire Interactive,Minds-Eye Productions,0.01,0.01,0,0,0.02,71,1,27
Sega GT,DC,2000,Racing,Sega,TOSE,0,0,0.13,0,0.13,84,7.7,11
Romance of the Three Kingdoms VII,PS2,2000,Strategy,Tecmo Koei,Koei,0.08,0.06,0.16,0.02,0.32,72,8.7,11
Rollcage Stage II,PS,2000,Racing,Sony Computer Entertainment,Attention To Detail,0.05,0.03,0,0.01,0.09,85,8.9,16
Ring of Red,PS2,2000,Strategy,Konami Digital Entertainment,Konami,0.06,0.04,0,0.01,0.11,82,8.7,11
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,Namco,0.24,0.19,0.75,0.06,1.24,78,7.7,6
Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,Capcom,0.23,0.15,0.29,0.05,0.71,39,7,47
Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,Takara,0.14,0.11,0,0.04,0.28,54,2,29
Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,Midway,0.4,0.31,0,0.1,0.81,75,1,35
Ready 2 Rumble Boxing: Round 2,PS,2000,Fighting,Midway Games,Point of View,0.29,0.2,0,0.03,0.52,68,2,16
RC Revenge Pro,PS2,2000,Racing,Acclaim Entertainment,Acclaim,0.08,0.06,0,0.02,0.17,49,7.6,7
Rayman 2: Revolution,PS2,2000,Platform,Ubisoft,Ubisoft,0.15,0.11,0,0.04,0.3,90,8.2,42
Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,Ornith,0.13,0.1,0,0.04,0.27,65,2,32
Power Spike Pro Beach Volleyball,PS,2000,Sports,Infogrames,Carapace,0.03,0.02,0,0,0.05,48,1,38
Polaris SnoCross,PS,2000,Racing,Vatical Entertainment,Vicarious Visions,0.09,0.06,0,0.01,0.16,57,2,35
Point Blank 3,PS,2000,Shooter,Namco Bandai Games,Tose Software,0.01,0.01,0,0,0.02,78,8.4,5
Phantasy Star Online,DC,2000,Role-Playing,Sega,Sonic Team,0,0,0.2,0,0.2,89,9.1,33
Persona 2: Eternal Punishment,PS,2000,Role-Playing,Atlus,Atlus Co.,0.03,0.02,0.28,0.02,0.35,83,8.4,25
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,Shade,0.15,0.12,0,0.04,0.31,54,5.8,8
NHL FaceOff 2001,PS,2000,Sports,Sony Computer Entertainment,SolWorks,0.13,0.09,0,0.02,0.23,78,2,37
NHL 2001,PS2,2000,Sports,Electronic Arts,EA Sports,0.47,0.37,0,0.12,0.96,85,8.1,9
NHL 2001,PS,2000,Sports,Electronic Arts,Page 44 Studios,0.35,0.24,0,0.04,0.63,88,7.7,7
NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,0.56,0.38,0,0.07,1,73,2,48
NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,SCEA,0.18,0.14,0,0.05,0.36,51,1,18
NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,Microsoft Game Studios,0.74,0.21,0,0.04,0.99,79,8.5,10
NFL Blitz 2001,PS,2000,Sports,Midway Games,Midway,0.33,0.22,0,0.04,0.59,70,1,34
NFL 2K1,DC,2000,Sports,Sega,Visual Concepts,1.02,0.05,0,0.02,1.09,97,6,47
NCAA GameBreaker 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,0.18,0.12,0,0.02,0.33,69,1,50
NCAA GameBreaker 2001,PS2,2000,Sports,Sony Computer Entertainment,989 Sports,0.07,0.06,0,0.02,0.15,57,2,3
NCAA Final Four 2001,PS2,2000,Sports,Sony Computer Entertainment,989 Sports,0.09,0.07,0,0.02,0.19,49,2,38
NCAA Final Four 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,0.09,0.06,0,0.01,0.16,55,1,25
NBA ShootOut 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports,0.15,0.1,0,0.02,0.27,71,1,23
NBA Live 2001,PS,2000,Sports,Electronic Arts,EA Sports,0.7,0.47,0,0.08,1.25,86,8,6
NASCAR Heat,PS,2000,Racing,Hasbro Interactive,Monster Games Inc.,0.22,0.15,0,0.03,0.39,62,1,33
NASCAR 2001,PS,2000,Racing,Electronic Arts,Black Box,0.45,0.31,0,0.05,0.81,73,6.1,9
NASCAR 2001,PS2,2000,Racing,Electronic Arts,EA Sports,0.34,0.27,0,0.09,0.7,66,6.6,9
MTV Sports: Pure Ride,PS,2000,Sports,THQ,Radical Entertainment,0.07,0.05,0,0.01,0.12,70,2,28
MotoGP,PS2,2000,Racing,Namco Bandai Games,Namco,0.06,0.05,0.14,0.02,0.27,77,6,5
Mortal Kombat: Special Forces,PS,2000,Fighting,Midway Games,Midway,0.12,0.08,0,0.01,0.21,28,2.4,17
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,Bandai,0.16,0.13,0.36,0.04,0.7,58,8.1,49
Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,Angel Studios,2,0.47,0.02,0.14,2.63,78,7.8,21
Mega Man X5,PS,2000,Platform,Capcom,Capcom,0.3,0.21,0.2,0.05,0.75,76,8.9,55
Mega Man Legends 2,PS,2000,Adventure,Capcom,Capcom,0.17,0.12,0.1,0.03,0.42,76,8.8,29
Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,Dreamworks Interactive,0.54,0.37,0,0.06,0.97,86,9,44
Madden NFL 2001,PS,2000,Sports,Electronic Arts,EA Sports,1.58,0.05,0,0.04,1.67,90,6.8,4
Madden NFL 2001,PS2,2000,Sports,Electronic Arts,EA Sports,1.19,0.07,0.05,0.2,1.5,91,7.7,7
Looney Tunes Racing,PS,2000,Racing,Infogrames,Circus Freak,0.16,0.11,0,0.02,0.29,71,1,40
Knockout Kings 2001,PS,2000,Fighting,Electronic Arts,EA Sports,0.23,0.15,0,0.03,0.41,84,8.5,6
Kessen,PS2,2000,Strategy,Electronic Arts,Koei,0.27,0.21,0.41,0.07,0.95,75,8.4,12
Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft,Light Weight,0.16,0.13,0.06,0.04,0.39,62,8.4,8
Jeremy McGrath Supercross 2000,PS,2000,Racing,Acclaim Entertainment,Acclaim,0.4,0.27,0,0.05,0.71,43,2,4
Hogs of War,PS,2000,Strategy,Infogrames,Infogrames Sheffield,0.01,0.01,0,0,0.02,62,8.8,31
HBO Boxing,PS,2000,Fighting,Acclaim Entertainment,Osiris Studios,0.12,0.08,0,0.01,0.21,26,4,5
GunGriffon Blaze,PS2,2000,Simulation,Swing! Entertainment,Game Arts,0.05,0.04,0,0.01,0.11,73,1,11
Grandia II,DC,2000,Role-Playing,Ubisoft,Game Arts,0,0,0.2,0,0.2,90,8.8,57
Gradius III and IV,PS2,2000,Shooter,Konami Digital Entertainment,KCET,0.04,0.03,0,0.01,0.08,64,1,11
Gold and Glory: The Road to El Dorado,PS,2000,Adventure,Ubisoft,Revolution Software,0.03,0.02,0,0,0.06,34,1,9
Galaga: Destination Earth,PS,2000,Shooter,Hasbro Interactive,Hasbro Interactive,0.13,0.09,0,0.02,0.24,2,8,10
Gadget Racers,PS2,2000,Racing,Midas Interactive Entertainment,Barnhouse Effect,0.04,0.03,0,0.01,0.08,67,7.4,7
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,8.9,779
FIFA 2001 Major League Soccer,PS,2000,Sports,Electronic Arts,EA Sports,0.18,0.12,0,0.02,0.32,85,7.8,5
Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,SCEJ,0.14,0.11,0.19,0.04,0.47,72,6.3,9
F1 Championship Season 2000,PS2,2000,Racing,Electronic Arts,EA Sports,0.06,0.05,0.03,0.02,0.16,71,2,22
Evil Dead: Hail to the King,PS,2000,Adventure,THQ,Heavy Iron Studios,0.15,0.1,0,0.02,0.27,51,6,7
EverGrace,PS2,2000,Role-Playing,Ubisoft,From Software,0.1,0.08,0.15,0.03,0.35,59,7.8,4
Eternal Ring,PS2,2000,Role-Playing,Ubisoft,From Software,0.1,0.07,0.1,0.03,0.3,62,5.3,9
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,Konami Digital Entertainment,Konami,0.1,0.08,0,0.03,0.21,64,7.9,8
ESPN NBA 2Night,PS2,2000,Sports,Konami Digital Entertainment,Konami,0.05,0.04,0,0.01,0.09,62,2,29
Ephemeral Fantasia,PS2,2000,Role-Playing,Konami Digital Entertainment,KCEJ,0.04,0.03,0,0.01,0.08,48,6.3,39
Dynasty Warriors 2,PS2,2000,Action,THQ,Omega Force,0.24,0.19,0.34,0.06,0.83,75,8.8,24
Duke Nukem: Land of the Babes,PS,2000,Shooter,Atari,n-Space,0.04,0.03,0,0,0.08,37,6.8,20
Driving Emotion Type-S,PS2,2000,Racing,Electronic Arts,Escape,0.04,0.03,0.11,0.01,0.18,55,1,7
Driver 2,PS,2000,Action,Atari,Reflections Interactive,2.36,2.1,0.02,0.25,4.73,62,7.7,92
Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,Activision,Paradox Development,0.08,0.06,0,0.01,0.15,30,6.9,9
Disney's The Emperor's New Groove,PS,2000,Platform,Sony Computer Entertainment,Disney Interactive,0.17,0.12,0,0.02,0.31,66,7.2,6
